id,created_at,updated_at,ticket_id,job_type_id,assignment_username,ticket_created_at,scheduled_date,system_scheduled_date,assigned_at,unaccepted_at,accepted_at,checkedin_at,rescheduled_at,reschedule_date,reassigned_at,solved_at,checkedout_at,hold_at,removed_at,unassigned_at,client_branch,parked_at,assigned_from,assigned_by,reassigned_from,reassigned_by,rescheduled_from,rescheduled_by,unassigned_from,unassigned_by,removed_from,removed_by,assign_reason,reassign_reason,reschedule_reason,unassign_reason,remove_reason,assigned_distance
207708,"2023-08-18 16:42:06","2023-08-18 16:42:35",19993698,2,sunil.nepali,"2023-08-17 18:30:00","2023-08-18 16:30:00","2023-08-18 16:15:00","2023-08-18 16:42:06",,"2023-08-18 16:42:35",,,,,,,,,,BUTWAL,,qcp,,,,,,,,,,,,,,,2343
207707,"2023-08-18 16:42:05","2023-08-18 16:42:43",8065250,1,radha.nagarkoti,"2023-08-18 16:37:29","2023-08-18 16:40:00","2023-08-18 16:25:00","2023-08-18 16:42:05",,"2023-08-18 16:42:43",,,,,,,,,,DHOLAHITI,,qcp,,,,,,,,,,,,,,,1908
207704,"2023-08-18 16:41:05","2023-08-18 16:42:44",19995977,2,bijay.yadav1,"2023-08-17 21:24:00","2023-08-18 07:56:00","2023-08-18 07:41:20","2023-08-18 16:41:05",,"2023-08-18 16:42:44",,,,,,,,,,JANAKPUR,,qcp,,,,,,,,,,,,,,,7402
207805,"2023-08-18 17:18:04","2023-08-18 17:19:05",8065536,1,niroj.khadka,"2023-08-18 17:16:34","2023-08-18 17:16:35","2023-08-18 17:01:35","2023-08-18 17:18:04",,"2023-08-18 17:19:05",,,,,,,,,,KOTESHWOR,,qcp,,,,,,,,,,,,,,,469
207827,"2023-08-18 17:25:08","2023-08-18 17:25:08",19974203,2,mohan.magar,"2023-08-16 12:17:24","2023-08-16 12:17:00","2023-08-18 11:15:00","2023-08-18 17:25:08",,,,,,,,,,,,BALUWATAR,,qcp,,,,,,,,,,,,,,,801
207825,"2023-08-18 17:25:05","2023-08-18 17:25:32",19945728,2,bijay.yadav,"2023-08-14 11:23:34","2023-08-14 11:23:00","2023-08-18 10:45:00","2023-08-18 17:25:05",,"2023-08-18 17:25:32",,,,,,,,,,BIRGUNJ,,qcp,,,,,,,,,,,,,,,507
207664,"2023-08-18 16:27:04","2023-08-18 16:44:18",20004882,2,nabin.mahato,"2023-08-18 15:37:34","2023-08-18 15:37:00","2023-08-18 15:27:54","2023-08-18 16:27:04",,"2023-08-18 16:27:26","2023-08-18 16:44:18",,,,,,,,,CHITWAN,,qcp,,,,,,,,,,,,,,,4717
207713,"2023-08-18 16:44:07","2023-08-18 16:44:41",20003410,2,rajan.rana3,"2023-08-18 14:04:00","2023-08-18 16:30:00","2023-08-18 16:15:00","2023-08-18 16:44:06",,"2023-08-18 16:44:41",,,,,,,,,,BUTWAL,,qcp,,,,,,,,,,,,,,,1386
207717,"2023-08-18 16:45:04","2023-08-18 16:45:43",8065253,1,niroj.khadka,"2023-08-18 16:38:20","2023-08-18 17:00:00","2023-08-18 16:45:00","2023-08-18 16:45:04",,"2023-08-18 16:45:42",,,,,,,,,,KOTESHWOR,,qcp,,,,,,,,,,,,,,,519
207809,"2023-08-18 17:19:07","2023-08-18 17:19:41",20005737,2,raj.magar5,"2023-08-18 16:39:44","2023-08-18 16:39:00","2023-08-18 16:31:12","2023-08-18 17:19:07",,"2023-08-18 17:19:41",,,,,,,,,,RASTRABANKCHOWK,,qcp,,,,,,,,,,,,,,,3916
207724,"2023-08-18 16:46:04","2023-08-18 16:47:59",8065159,3,bishal.kunwar,"2023-08-18 16:23:46","2023-08-18 16:31:00","2023-08-18 16:16:00","2023-08-18 16:46:04",,"2023-08-18 16:47:59",,,,,,,,,,BALAJU,,qcp,,,,,,,,,,,,,,,3245
207718,"2023-08-18 16:45:04","2023-08-18 16:45:34",20002963,2,khem.katuwal,"2023-08-18 13:36:04","2023-08-18 13:36:00","2023-08-18 15:15:00","2023-08-18 16:45:04",,"2023-08-18 16:45:34",,,,,,,,,,BATTISPUTALI,,qcp,,,,,,,,,,,,,,,547
207335,"2023-08-18 14:40:05","2023-08-18 15:19:15",20003951,2,jivan.thapa,"2023-08-18 14:39:32","2023-08-18 14:39:00","2023-08-18 14:24:58","2023-08-18 14:40:05",,"2023-08-18 14:40:30","2023-08-18 14:51:03",,,,"2023-08-18 15:10:15","2023-08-18 15:19:15",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,1051
207715,"2023-08-18 16:45:03","2023-08-18 16:45:43",20000938,2,ghimire.saroj,"2023-08-18 11:30:27","2023-08-18 11:30:00","2023-08-18 11:21:38","2023-08-18 16:45:03",,"2023-08-18 16:45:43",,,,,,,,,,DHOLAHITI,,qcp,,,,,,,,,,,,,,,2710
207721,"2023-08-18 16:45:08","2023-08-18 16:46:46",19990531,2,roshan.dhakal,"2023-08-17 14:38:41","2023-08-17 14:38:00","2023-08-18 16:45:00","2023-08-18 16:45:08",,"2023-08-18 16:46:46",,,,,,,,,,HETAUDA,,qcp,,,,,,,,,,,,,,,364
207728,"2023-08-18 16:46:12","2023-08-18 16:47:49",8053288,5,roshan.gosai,"2023-08-16 16:33:47","2023-08-16 16:33:49","2023-08-16 16:18:49","2023-08-18 16:46:12",,"2023-08-18 16:47:49",,,,,,,,,,BIRGUNJ,,qcp,,,,,,,,,,,,,,,1675
207813,"2023-08-18 17:20:05","2023-08-18 17:20:05",20005106,2,bimalthapa.magar,"2023-08-18 15:59:14","2023-08-18 16:00:00","2023-08-18 15:45:00","2023-08-18 17:20:05",,,,,,,,,,,,SATUNGAL,,qcp,,,,,,,,,,,,,,,556
207734,"2023-08-18 16:49:05","2023-08-18 17:42:47",8058114,4,suraj.budhathoki,"2023-08-17 14:52:01","2023-08-18 09:00:00","2023-08-18 14:45:00","2023-08-18 16:49:05",,"2023-08-18 16:49:38","2023-08-18 17:17:45",,,,,"2023-08-18 17:42:47",,,,KIRTIPUR,,qcp,,,,,,,,,,,,,,,2034
207467,"2023-08-18 15:26:09","2023-08-18 15:26:43",8039845,4,durga.rijal,"2023-08-14 12:21:55","2023-08-14 12:27:00","2023-08-17 10:45:00","2023-08-18 15:26:09",,"2023-08-18 15:26:43",,,,,,,,,,BAGAR,,qcp,,,,,,,,,,,,,,,925
207315,"2023-08-18 14:35:05","2023-08-18 15:26:13",20003860,2,anish.kayastha,"2023-08-18 14:28:32","2023-08-18 14:28:00","2023-08-18 14:19:45","2023-08-18 14:35:05",,"2023-08-18 14:35:36","2023-08-18 15:12:03",,,,"2023-08-18 15:13:26","2023-08-18 15:26:13",,,,KOTESHWOR,,qcp,,,,,,,,,,,,,,,501
207812,"2023-08-18 17:20:05","2023-08-18 17:20:28",19985059,2,niroj.khadka,"2023-08-17 09:28:13","2023-08-17 09:28:00","2023-08-18 16:45:00","2023-08-18 17:20:05",,"2023-08-18 17:20:28",,,,,,,,,,KOTESHWOR,,qcp,,,,,,,,,,,,,,,844
207468,"2023-08-18 15:26:10","2023-08-18 15:26:32",20001505,2,raj.kapri,"2023-08-18 11:59:53","2023-08-18 13:30:00","2023-08-18 13:15:00","2023-08-18 15:26:10",,"2023-08-18 15:26:32",,,,,,,,,,BALAJU,,qcp,,,,,,,,,,,,,,,4391
206759,"2023-08-18 12:32:37","2023-08-18 12:56:55",20000825,2,niroj.khadka,"2023-08-18 11:28:48","2023-08-18 11:28:00","2023-08-18 13:45:00","2023-08-18 12:32:37",,"2023-08-18 12:33:00","2023-08-18 12:46:49",,,,"2023-08-18 12:48:34","2023-08-18 12:56:55",,,,KOTESHWOR,,qcp-dashboard,mahima.joshi,,,,,,,,,"FA Not Available",,,,,995
205724,"2023-08-18 07:54:03","2023-08-18 07:55:44",19969326,2,ujil.rawat,"2023-08-16 03:15:00","2023-08-16 07:03:00","2023-08-16 06:49:05","2023-08-18 07:54:03",,"2023-08-18 07:54:24",,"2023-08-18 07:55:44","2023-08-18 11:00:00",,,,,,,BALUWATAR,,qcp,,,,int-mobile-app,ujil.rawat,,,,,,,"Customer requested to reschedule the field visit time.",,,1128
206090,"2023-08-18 09:25:06","2023-08-18 10:10:07",19998238,2,nakul.dhakal,"2023-08-18 08:44:42","2023-08-18 08:44:00","2023-08-18 08:29:50","2023-08-18 09:25:06",,"2023-08-18 09:25:24","2023-08-18 09:38:04",,,,"2023-08-18 09:43:32","2023-08-18 10:10:07",,,,PEPSICOLA,,qcp,,,,,,,,,,,,,,,2634
206209,"2023-08-18 09:55:04","2023-08-18 10:10:59",19995841,2,khem.katuwal,"2023-08-17 21:11:30","2023-08-18 08:30:00","2023-08-18 08:15:00","2023-08-18 09:55:04",,"2023-08-18 09:55:55","2023-08-18 10:04:03",,,,"2023-08-18 10:06:19","2023-08-18 10:10:59",,,,BATTISPUTALI,,qcp,,,,,,,,,,,,,,,333
206207,"2023-08-18 09:55:04","2023-08-18 10:32:58",19985149,2,santosh.magrati01,"2023-08-17 09:38:45","2023-08-17 10:30:00","2023-08-17 10:15:00","2023-08-18 09:55:04",,"2023-08-18 09:55:18","2023-08-18 10:02:57",,,,"2023-08-18 10:30:09","2023-08-18 10:32:58",,,,KALDHARA,,qcp,,,,,,,,,,,,,,,675
205734,"2023-08-18 07:56:04","2023-08-18 07:56:21",19990323,2,santosh.magrati01,"2023-08-17 14:30:41","2023-08-17 14:30:00","2023-08-17 14:16:17","2023-08-18 07:56:04",,"2023-08-18 07:56:21",,,,,,,,,,KALDHARA,,qcp,,,,,,,,,,,,,,,1053
206755,"2023-08-18 12:31:12","2023-08-18 12:32:24",8062950,3,sandip.ghimire,"2023-08-18 12:00:59","2023-08-18 12:30:00","2023-08-18 12:15:00","2023-08-18 12:31:12",,"2023-08-18 12:32:24",,,,,,,,,,DHOLAHITI,,qcp,,,,,,,,,,,,,,,429
206601,"2023-08-18 11:52:21","2023-08-18 15:10:13",19988047,2,kamal.budhathoki,"2023-08-17 12:13:41","2023-08-17 12:13:00","2023-08-17 12:06:42","2023-08-18 11:52:21",,"2023-08-18 11:53:21","2023-08-18 12:19:04",,,,"2023-08-18 14:44:42","2023-08-18 15:10:13",,,,BOUDDHA,,qcp-dashboard,binayak.acharya,,,,,,,,,"Want to go home",,,,,416
206604,"2023-08-18 11:54:06","2023-08-18 13:10:32",8062161,1,som.pakhrin,"2023-08-18 10:47:16","2023-08-18 11:00:00","2023-08-18 10:45:00","2023-08-18 11:54:05",,"2023-08-18 11:55:29","2023-08-18 12:25:15",,,,"2023-08-18 12:47:33","2023-08-18 13:10:32",,,,HETAUDA,,qcp,,,,,,,,,,,,,,,1460
206341,"2023-08-18 10:33:05","2023-08-18 11:19:11",19999587,2,santosh.magrati01,"2023-08-18 10:18:00","2023-08-18 10:23:00","2023-08-18 10:08:15","2023-08-18 10:33:05",,"2023-08-18 10:33:21","2023-08-18 10:44:59",,,,"2023-08-18 11:14:59","2023-08-18 11:19:11",,,,KALDHARA,,qcp,,,,,,,,,,,,,,,785
206600,"2023-08-18 11:52:06","2023-08-18 12:42:47",8060118,3,raj.kapri,"2023-08-17 17:47:48","2023-08-18 12:00:00","2023-08-18 11:45:00","2023-08-18 11:52:06",,"2023-08-18 11:52:25","2023-08-18 12:42:47",,,,,,,,,BALAJU,,qcp,,,,,,,,,,,,,,,3884
205981,"2023-08-18 08:57:05","2023-08-18 09:46:11",19997976,2,ganesh.khadka,"2023-08-18 08:20:14","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 08:57:05",,"2023-08-18 08:57:51","2023-08-18 09:17:00",,,,"2023-08-18 09:40:42","2023-08-18 09:46:11",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,436
206882,"2023-08-18 12:54:06","2023-08-18 14:07:05",8061920,1,arjun.bhujel,"2023-08-18 10:23:36","2023-08-18 11:00:00","2023-08-18 12:34:21","2023-08-18 12:54:06",,"2023-08-18 12:54:38","2023-08-18 13:10:50",,,,"2023-08-18 13:55:31","2023-08-18 14:07:05",,,,BATTISPUTALI,,qcp,,,,,,,,,,,,,,,916
205737,"2023-08-18 07:56:05","2023-08-18 07:56:27",19986880,2,raj.kapri,"2023-08-17 11:07:59","2023-08-17 11:08:00","2023-08-18 07:45:00","2023-08-18 07:56:05",,"2023-08-18 07:56:27",,,,,,,,,,BALAJU,,qcp,,,,,,,,,,,,,,,3136
206770,"2023-08-18 12:34:06","2023-08-18 12:59:48",19998863,2,bikesh.deula,"2023-08-18 09:28:28","2023-08-18 10:00:00","2023-08-18 09:45:00","2023-08-18 12:34:06",,"2023-08-18 12:34:31","2023-08-18 12:48:43",,,,"2023-08-18 12:53:45","2023-08-18 12:59:48",,,,KALIMATI,,qcp,,,,,,,,,,,,,,,1493
206430,"2023-08-18 11:07:08","2023-08-18 11:52:29",20000400,2,amir.karki1,"2023-08-18 11:05:40","2023-08-18 11:05:00","2023-08-18 10:51:33","2023-08-18 11:07:08",,"2023-08-18 11:08:55","2023-08-18 11:40:01",,,,"2023-08-18 11:41:55","2023-08-18 11:52:29",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,1830
206599,"2023-08-18 11:51:18","2023-08-18 12:39:32",19998929,2,balkrishna.putwara,"2023-08-18 09:37:44","2023-08-18 09:37:00","2023-08-18 11:45:00","2023-08-18 11:51:18",,"2023-08-18 11:51:47","2023-08-18 12:09:05",,,,"2023-08-18 12:31:24","2023-08-18 12:39:32",,,,SALLAGHARI,,qcp-dashboard,prashish.shrestha,,,,,,,,,"FA Not Available",,,,,3032
206451,"2023-08-18 11:12:08","2023-08-18 11:53:51",19995155,2,parshuram.bhattarai,"2023-08-17 20:20:03","2023-08-18 08:00:00","2023-08-18 07:45:00","2023-08-18 11:12:08",,"2023-08-18 11:12:37","2023-08-18 11:29:04","2023-08-18 11:53:51","2023-08-19 08:00:00",,,,,,,NEWBANESHWOR,,qcp,,,,qcp-dashboard,subhash.tharu,,,,,,,"Client rescheduled",,,481
206603,"2023-08-18 11:53:05","2023-08-18 11:53:54",8060187,1,saroj.baram,"2023-08-17 17:53:23","2023-08-18 12:00:00","2023-08-18 11:45:00","2023-08-18 11:53:05",,"2023-08-18 11:53:54",,,,,,,,,,BALAJU,,qcp,,,,,,,,,,,,,,,1259
206766,"2023-08-18 12:33:06","2023-08-18 12:40:09",19980603,2,nabaraj.bista,"2023-08-16 19:46:08","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 12:33:06",,"2023-08-18 12:33:34",,"2023-08-18 12:40:09","2023-08-19 10:30:00",,,,,,,PEPSICOLA,,qcp,,,,int-mobile-app,nabaraj.bista,,,,,,,"Customer requested to reschedule the field visit time.",,,1457
205980,"2023-08-18 08:57:04","2023-08-18 08:57:41",19992939,2,ramchandra.adhikari1,"2023-08-17 17:26:51","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 08:57:04",,"2023-08-18 08:57:41",,,,,,,,,,DHUNGEDHARA,,qcp,,,,,,,,,,,,,,,2070
205735,"2023-08-18 07:56:04","2023-08-18 07:56:30",19996940,2,sanjog.bishowkarma,"2023-08-18 05:11:04","2023-08-18 07:00:00","2023-08-18 06:45:00","2023-08-18 07:56:04",,"2023-08-18 07:56:29",,,,,,,,,,MAHENDRAPOOL,,qcp,,,,,,,,,,,,,,,564
206764,"2023-08-18 12:33:05","2023-08-18 13:08:26",19999822,2,arun.bhitrakoti,"2023-08-18 10:27:29","2023-08-18 10:27:00","2023-08-18 10:17:38","2023-08-18 12:33:05",,"2023-08-18 12:33:28","2023-08-18 12:46:17",,,,"2023-08-18 12:59:19","2023-08-18 13:08:26",,,,AMARSINGHCHOWK,,qcp,,,,,,,,,,,,,,,1111
205741,"2023-08-18 07:57:05","2023-08-18 08:59:22",8057168,4,bhandari.navin,"2023-08-17 13:17:51","2023-08-17 15:00:00","2023-08-18 07:50:00","2023-08-18 07:57:05",,"2023-08-18 07:57:33","2023-08-18 08:27:59",,,,,"2023-08-18 08:59:22",,,,PEPSICOLA,,qcp,,,,,,,,,,,,,,,3792
205740,"2023-08-18 07:57:04","2023-08-18 08:15:08",19995363,2,nabaraj.bista,"2023-08-17 20:35:13","2023-08-18 08:00:00","2023-08-18 07:45:00","2023-08-18 07:57:04",,"2023-08-18 07:57:45","2023-08-18 08:04:05",,,,"2023-08-18 08:13:14","2023-08-18 08:15:08",,,,PEPSICOLA,,qcp,,,,,,,,,,,,,,,237
205968,"2023-08-18 08:55:05","2023-08-18 08:57:42",8058114,4,uddhab.magar,"2023-08-17 14:52:01","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 08:55:05",,"2023-08-18 08:55:27","2023-08-18 08:57:06","2023-08-18 08:57:42","2023-08-18 15:00:00",,,,,,,KIRTIPUR,,qcp,,,,task-ticketing,uddhab.magar,,,,,,,"Customer requested to reschedule the field visit time.",,,2214
206602,"2023-08-18 11:53:05","2023-08-18 12:33:10",20000886,2,amir.karki1,"2023-08-18 11:32:00","2023-08-18 11:35:00","2023-08-18 11:21:27","2023-08-18 11:53:05",,"2023-08-18 11:54:08","2023-08-18 12:12:05",,,,"2023-08-18 12:25:26","2023-08-18 12:33:10",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,2980
205510,"2023-08-18 07:01:03","2023-08-18 07:58:21",19994333,2,krishna.magar2,"2023-08-17 19:20:10","2023-08-18 07:00:00","2023-08-18 06:45:00","2023-08-18 07:01:03",,"2023-08-18 07:02:04","2023-08-18 07:47:18",,,,"2023-08-18 07:58:08","2023-08-18 07:58:21",,,,DAMAULI,,qcp,,,,,,,,,,,,,,,3079
205739,"2023-08-18 07:57:04","2023-08-18 08:35:16",19997672,2,kiran.kunwor,"2023-08-18 07:51:37","2023-08-18 07:51:00","2023-08-18 07:41:55","2023-08-18 07:57:04",,"2023-08-18 07:57:35","2023-08-18 08:08:03",,,,"2023-08-18 08:17:49","2023-08-18 08:35:16",,,,DHUNGEDHARA,,qcp,,,,,,,,,,,,,,,1327
205738,"2023-08-18 07:57:03","2023-08-18 07:57:22",19992368,2,santosh.magrati01,"2023-08-17 16:42:16","2023-08-17 16:42:00","2023-08-17 16:32:35","2023-08-18 07:57:03",,"2023-08-18 07:57:22",,,,,,,,,,KALDHARA,,qcp,,,,,,,,,,,,,,,1027
205742,"2023-08-18 07:58:04","2023-08-18 08:55:13",8057202,1,kamal.budhathoki,"2023-08-17 13:21:51","2023-08-17 13:45:00","2023-08-18 07:45:00","2023-08-18 07:58:04",,"2023-08-18 07:58:30","2023-08-18 08:22:16",,,,"2023-08-18 08:31:28","2023-08-18 08:55:13",,,,BOUDDHA,,qcp,,,,,,,,,,,,,,,605
205673,"2023-08-18 07:39:04","2023-08-18 08:01:48",19995996,2,jivan.thapa,"2023-08-17 21:26:00","2023-08-18 07:20:00","2023-08-18 07:10:26","2023-08-18 07:39:04",,"2023-08-18 07:39:51","2023-08-18 07:49:06",,,,"2023-08-18 07:57:41","2023-08-18 08:01:47",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,593
205743,"2023-08-18 07:58:06","2023-08-18 08:48:08",19993623,2,tanka.shrestha,"2023-08-17 18:19:20","2023-08-18 08:00:00","2023-08-18 07:45:00","2023-08-18 07:58:06",,"2023-08-18 07:58:27","2023-08-18 08:07:05",,,,"2023-08-18 08:43:31","2023-08-18 08:48:08",,,,BOUDDHA,,qcp,,,,,,,,,,,,,,,299
205744,"2023-08-18 07:59:02","2023-08-18 08:59:18",19992480,2,santosh.magrati01,"2023-08-17 16:49:07","2023-08-17 16:49:00","2023-08-17 16:39:46","2023-08-18 07:59:02",,"2023-08-18 07:59:18","2023-08-18 08:12:03",,,,"2023-08-18 08:56:00","2023-08-18 08:59:18",,,,KALDHARA,,qcp,,,,,,,,,,,,,,,825
206754,"2023-08-18 12:31:09","2023-08-18 13:27:29",8060137,1,suraj.adhikari,"2023-08-17 17:49:11","2023-08-18 08:30:00","2023-08-18 12:15:00","2023-08-18 12:31:09",,"2023-08-18 12:31:46","2023-08-18 12:54:50",,,,"2023-08-18 13:03:54","2023-08-18 13:27:28",,,,IMADOL,,qcp,,,,,,,,,,,,,,,1311
205650,"2023-08-18 07:33:03","2023-08-18 08:08:28",19988253,2,sumin.rana,"2023-08-17 12:29:52","2023-08-17 12:29:00","2023-08-17 12:16:07","2023-08-18 07:33:03",,"2023-08-18 07:33:29","2023-08-18 07:50:05",,,,"2023-08-18 07:58:06","2023-08-18 08:08:28",,,,RASTRABANKCHOWK,,qcp,,,,,,,,,,,,,,,964
205720,"2023-08-18 07:53:04","2023-08-18 07:56:45",8060328,5,nabaraj.bista,"2023-08-17 18:06:26","2023-08-18 08:00:00","2023-08-18 07:45:00","2023-08-18 07:53:04",,"2023-08-18 07:53:33","2023-08-18 07:55:44",,,"2023-08-18 07:56:45",,,,,,PEPSICOLA,,qcp,,int-mobile-app,nabaraj.bista,,,,,,,,,,,,1327
206762,"2023-08-18 12:33:03","2023-08-18 13:20:56",19999949,2,dilipk.chaudhary,"2023-08-18 10:34:12","2023-08-18 10:34:00","2023-08-18 10:25:36","2023-08-18 12:33:03",,"2023-08-18 12:33:31","2023-08-18 13:15:53",,,,"2023-08-18 13:20:44","2023-08-18 13:20:56",,,,DAMAULI,,qcp,,,,,,,,,,,,,,,1433
206768,"2023-08-18 12:33:49","2023-08-18 13:49:11",20000750,2,hari.gyawali,"2023-08-18 11:19:11","2023-08-18 13:00:00","2023-08-18 12:45:00","2023-08-18 12:33:49",,"2023-08-18 12:34:18","2023-08-18 12:51:04",,,,"2023-08-18 13:45:49","2023-08-18 13:49:11",,,,KOTESHWOR,,qcp-dashboard,mahima.joshi,,,,,,,,,"FA Not Available",,,,,821
206752,"2023-08-18 12:30:05","2023-08-18 13:38:29",20000362,2,bijay.yadav1,"2023-08-18 11:03:00","2023-08-18 11:14:00","2023-08-18 10:59:42","2023-08-18 12:30:05",,"2023-08-18 12:30:38","2023-08-18 12:52:10",,,,"2023-08-18 13:32:26","2023-08-18 13:38:29",,,,JANAKPUR,,qcp,,,,,,,,,,,,,,,372
206088,"2023-08-18 09:25:05","2023-08-18 09:45:56",8061405,1,nabin.mahato,"2023-08-18 08:56:19","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 09:25:05",,"2023-08-18 09:25:26","2023-08-18 09:45:56",,,,,,,,,CHITWAN,,qcp,,,,,,,,,,,,,,,3057
205967,"2023-08-18 08:55:04","2023-08-18 08:57:57",8061338,1,pradeep.mahato,"2023-08-18 08:42:11","2023-08-18 09:00:00","2023-08-18 08:45:00","2023-08-18 08:55:04",,"2023-08-18 08:55:42","2023-08-18 08:56:38","2023-08-18 08:57:57","2023-08-18 11:00:00",,,,,,,CHITWAN,,qcp,,,,task-ticketing,pradeep.mahato,,,,,,,"Customer requested to reschedule the field visit time.",,,1593
206756,"2023-08-18 12:32:06","2023-08-18 13:04:32",19991805,2,santosh.giri,"2023-08-17 16:04:57","2023-08-17 16:05:00","2023-08-18 11:15:00","2023-08-18 12:32:06",,"2023-08-18 12:32:30","2023-08-18 12:47:06",,,"2023-08-18 13:04:32",,,,,,JANAKPUR,,qcp,,esupport,roshan.rokka,,,,,,,,,,,,2743
205751,"2023-08-18 08:00:07","2023-08-18 08:56:02",19993172,2,padam.shrestha,"2023-08-17 17:43:38","2023-08-18 07:00:00","2023-08-18 06:45:00","2023-08-18 08:00:07",,"2023-08-18 08:00:28","2023-08-18 08:16:04",,,,"2023-08-18 08:51:35","2023-08-18 08:56:02",,,,BANSBARI,,qcp,,,,,,,,,,,,,,,1432
205668,"2023-08-18 07:38:04","2023-08-18 07:59:27",19991798,2,anish.bk,"2023-08-17 16:09:30","2023-08-17 16:09:00","2023-08-17 15:55:11","2023-08-18 07:38:04",,"2023-08-18 07:38:33","2023-08-18 07:59:27",,,,,,,,,HETAUDA,,qcp,,,,,,,,,,,,,,,1299
205709,"2023-08-18 07:49:03","2023-08-18 07:59:13",8057588,4,raj.magar5,"2023-08-17 14:00:37","2023-08-17 15:00:00","2023-08-17 14:45:00","2023-08-18 07:49:03",,"2023-08-18 07:50:16",,,,"2023-08-18 07:59:13",,,,,,RASTRABANKCHOWK,,qcp,,task-ticketing,bibash.timalsina1,,,,,,,,"Accident/Personal Emergency",,,,1680
205982,"2023-08-18 08:58:04","2023-08-18 08:58:51",19910860,2,prakash.basnet,"2023-08-11 13:27:57","2023-08-11 13:27:00","2023-08-16 12:15:00","2023-08-18 08:58:04",,"2023-08-18 08:58:51",,,,,,,,,,BALUWATAR,,qcp,,,,,,,,,,,,,,,1393
